Overriding config with config/train_abc_char_medium.py:
# config/train_abc_char_medium.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-medium'

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 10,851,456 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 1630: loss 0.5154, time 92.25ms, mfu 18.16%
iter 1640: loss 0.4904, time 95.51ms, mfu 18.06%
iter 1650: loss 0.4752, time 101.61ms, mfu 17.87%
iter 1660: loss 0.4325, time 97.50ms, mfu 17.77%
iter 1670: loss 0.5622, time 93.39ms, mfu 17.75%
iter 1680: loss 0.6240, time 85.21ms, mfu 17.90%
iter 1690: loss 0.5425, time 99.32ms, mfu 17.76%
iter 1700: loss 0.5707, time 83.21ms, mfu 17.96%
iter 1710: loss 0.4669, time 97.88ms, mfu 17.84%
iter 1720: loss 0.6060, time 96.86ms, mfu 17.75%
iter 1730: loss 0.5463, time 99.21ms, mfu 17.63%
iter 1740: loss 0.5184, time 103.87ms, mfu 17.44%
iter 1750: loss 0.5094, time 81.91ms, mfu 17.70%
iter 1760: loss 0.4665, time 87.17ms, mfu 17.81%
iter 1770: loss 0.5008, time 73.24ms, mfu 18.27%
iter 1780: loss 0.5433, time 58.26ms, mfu 19.26%
iter 1790: loss 0.4281, time 61.74ms, mfu 19.99%
iter 1800: loss 0.5144, time 59.32ms, mfu 20.76%
iter 1810: loss 0.5109, time 62.30ms, mfu 21.32%
iter 1820: loss 0.5290, time 98.32ms, mfu 20.86%
iter 1830: loss 0.4613, time 94.76ms, mfu 20.50%
iter 1840: loss 0.6060, time 93.08ms, mfu 20.21%
iter 1850: loss 0.5333, time 80.00ms, mfu 20.24%
iter 1860: loss 0.4363, time 53.11ms, mfu 21.31%
iter 1870: loss 0.5572, time 95.17ms, mfu 20.90%
iter 1880: loss 0.4758, time 95.32ms, mfu 20.53%
iter 1890: loss 0.5172, time 70.16ms, mfu 20.82%
iter 1900: loss 0.6111, time 92.58ms, mfu 20.51%
iter 1910: loss 0.4907, time 101.32ms, mfu 20.08%
iter 1920: loss 0.4427, time 96.59ms, mfu 19.77%
iter 1930: loss 0.6063, time 96.81ms, mfu 19.49%
iter 1940: loss 0.5001, time 94.49ms, mfu 19.27%
iter 1950: loss 0.5532, time 94.83ms, mfu 19.08%
iter 1960: loss 0.5706, time 95.11ms, mfu 18.89%
iter 1970: loss 0.6036, time 97.92ms, mfu 18.68%
iter 1980: loss 0.4714, time 91.43ms, mfu 18.61%
iter 1990: loss 0.5344, time 99.24ms, mfu 18.40%
step 2000: train loss 0.4510, val loss 0.4565
saving checkpoint to out-abc-char-medium
iter 2000: loss 0.5353, time 2474.51ms, mfu 16.63%
iter 2010: loss 0.5144, time 93.82ms, mfu 16.71%
iter 2020: loss 0.4758, time 97.88ms, mfu 16.72%
iter 2030: loss 0.5102, time 99.99ms, mfu 16.69%
iter 2040: loss 0.5132, time 92.10ms, mfu 16.80%
iter 2050: loss 0.4642, time 95.55ms, mfu 16.84%
iter 2060: loss 0.5411, time 94.48ms, mfu 16.89%
iter 2070: loss 0.4366, time 92.12ms, mfu 16.98%
iter 2080: loss 0.6024, time 94.29ms, mfu 17.02%
iter 2090: loss 0.5617, time 94.04ms, mfu 17.07%
iter 2100: loss 0.4726, time 92.73ms, mfu 17.13%
iter 2110: loss 0.4707, time 92.93ms, mfu 17.18%
iter 2120: loss 0.5252, time 94.09ms, mfu 17.21%
iter 2130: loss 0.5338, time 95.11ms, mfu 17.21%
iter 2140: loss 0.5486, time 96.59ms, mfu 17.19%
iter 2150: loss 0.4374, time 95.47ms, mfu 17.19%
iter 2160: loss 0.5019, time 96.05ms, mfu 17.18%
iter 2170: loss 0.4175, time 100.11ms, mfu 17.10%
iter 2180: loss 0.4168, time 92.41ms, mfu 17.17%
iter 2190: loss 0.5117, time 62.44ms, mfu 18.08%
iter 2200: loss 0.4669, time 95.88ms, mfu 17.98%
iter 2210: loss 0.5188, time 94.55ms, mfu 17.92%
iter 2220: loss 0.5005, time 92.84ms, mfu 17.89%
iter 2230: loss 0.5790, time 57.48ms, mfu 18.96%
iter 2240: loss 0.4137, time 94.26ms, mfu 18.80%
iter 2250: loss 0.4896, time 95.58ms, mfu 18.64%
iter 2260: loss 0.5195, time 98.93ms, mfu 18.43%
iter 2270: loss 0.5290, time 93.05ms, mfu 18.35%
iter 2280: loss 0.4314, time 100.77ms, mfu 18.15%
iter 2290: loss 0.4478, time 102.65ms, mfu 17.93%
iter 2300: loss 0.4497, time 99.17ms, mfu 17.79%
iter 2310: loss 0.4961, time 94.03ms, mfu 17.76%
iter 2320: loss 0.5193, time 94.65ms, mfu 17.72%
iter 2330: loss 0.4984, time 100.27ms, mfu 17.58%
iter 2340: loss 0.5227, time 96.04ms, mfu 17.53%
iter 2350: loss 0.4990, time 95.14ms, mfu 17.50%
