Overriding config with config/train_abc_char_large.py:
# config/train_abc_char_large.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-large'

n_layer = 8
n_head = 8
n_embd = 512
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 25.23M
num decayed parameter tensors: 34, with 25,478,656 parameters
num non-decayed parameter tensors: 17, with 8,704 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 2600: loss 0.3996, time 113.41ms, mfu 31.10%
iter 2610: loss 0.3663, time 118.08ms, mfu 31.13%
iter 2620: loss 0.4215, time 115.69ms, mfu 31.22%
iter 2630: loss 0.4526, time 117.60ms, mfu 31.25%
iter 2640: loss 0.4718, time 113.98ms, mfu 31.38%
iter 2650: loss 0.4512, time 117.81ms, mfu 31.39%
iter 2660: loss 0.4818, time 108.71ms, mfu 31.66%
iter 2670: loss 0.3791, time 109.66ms, mfu 31.88%
iter 2680: loss 0.4177, time 90.19ms, mfu 32.80%
iter 2690: loss 0.4250, time 117.74ms, mfu 32.67%
iter 2700: loss 0.4550, time 112.42ms, mfu 32.70%
iter 2710: loss 0.3903, time 114.89ms, mfu 32.66%
iter 2720: loss 0.4186, time 112.95ms, mfu 32.67%
iter 2730: loss 0.4295, time 117.51ms, mfu 32.56%
iter 2740: loss 0.3676, time 107.37ms, mfu 32.76%
iter 2750: loss 0.4069, time 118.94ms, mfu 32.60%
iter 2760: loss 0.4495, time 99.69ms, mfu 33.06%
iter 2770: loss 0.4702, time 117.66ms, mfu 32.91%
iter 2780: loss 0.3474, time 117.51ms, mfu 32.77%
iter 2790: loss 0.4372, time 114.37ms, mfu 32.73%
iter 2800: loss 0.4103, time 126.68ms, mfu 32.39%
iter 2810: loss 0.4082, time 116.71ms, mfu 32.33%
iter 2820: loss 0.3262, time 117.57ms, mfu 32.25%
iter 2830: loss 0.3987, time 112.64ms, mfu 32.31%
iter 2840: loss 0.3737, time 126.24ms, mfu 32.02%
iter 2850: loss 0.4326, time 117.86ms, mfu 31.96%
iter 2860: loss 0.4574, time 117.58ms, mfu 31.92%
iter 2870: loss 0.4033, time 110.48ms, mfu 32.08%
iter 2880: loss 0.4085, time 117.70ms, mfu 32.03%
iter 2890: loss 0.3972, time 117.80ms, mfu 31.97%
iter 2900: loss 0.4157, time 114.65ms, mfu 32.01%
iter 2910: loss 0.3969, time 117.73ms, mfu 31.96%
iter 2920: loss 0.3904, time 107.90ms, mfu 32.20%
iter 2930: loss 0.4601, time 117.57ms, mfu 32.13%
iter 2940: loss 0.4447, time 114.73ms, mfu 32.15%
iter 2950: loss 0.4433, time 115.71ms, mfu 32.14%
iter 2960: loss 0.4145, time 117.46ms, mfu 32.08%
iter 2970: loss 0.3601, time 117.81ms, mfu 32.02%
iter 2980: loss 0.3908, time 116.45ms, mfu 32.00%
iter 2990: loss 0.3543, time 118.01ms, mfu 31.94%
step 3000: train loss 0.3986, val loss 0.3903
saving checkpoint to out-abc-char-large
iter 3000: loss 0.3890, time 4791.38ms, mfu 28.83%
iter 3010: loss 0.3920, time 111.56ms, mfu 29.27%
iter 3020: loss 0.4848, time 101.89ms, mfu 29.98%
iter 3030: loss 0.4293, time 113.19ms, mfu 30.26%
iter 3040: loss 0.3329, time 115.10ms, mfu 30.45%
iter 3050: loss 0.4195, time 116.44ms, mfu 30.59%
iter 3060: loss 0.3954, time 116.04ms, mfu 30.73%
iter 3070: loss 0.3699, time 116.21ms, mfu 30.85%
iter 3080: loss 0.3417, time 112.79ms, mfu 31.05%
iter 3090: loss 0.3862, time 117.66ms, mfu 31.10%
iter 3100: loss 0.3394, time 107.72ms, mfu 31.43%
iter 3110: loss 0.3494, time 118.90ms, mfu 31.40%
iter 3120: loss 0.3780, time 121.06ms, mfu 31.33%
iter 3130: loss 0.3830, time 115.49ms, mfu 31.40%
iter 3140: loss 0.4210, time 120.75ms, mfu 31.33%
iter 3150: loss 0.3720, time 115.32ms, mfu 31.42%
iter 3160: loss 0.4280, time 108.53ms, mfu 31.69%
iter 3170: loss 0.3634, time 120.80ms, mfu 31.59%
iter 3180: loss 0.5149, time 120.44ms, mfu 31.51%
iter 3190: loss 0.3457, time 99.74ms, mfu 32.08%
iter 3200: loss 0.3830, time 115.96ms, mfu 32.07%
iter 3210: loss 0.4065, time 107.11ms, mfu 32.32%
iter 3220: loss 0.4102, time 125.25ms, mfu 32.05%
iter 3230: loss 0.3619, time 117.66ms, mfu 32.00%
iter 3240: loss 0.3857, time 116.78ms, mfu 31.97%
iter 3250: loss 0.4077, time 117.46ms, mfu 31.93%
iter 3260: loss 0.4244, time 119.43ms, mfu 31.84%
iter 3270: loss 0.3509, time 117.44ms, mfu 31.82%
iter 3280: loss 0.4707, time 119.47ms, mfu 31.74%
iter 3290: loss 0.3937, time 117.93ms, mfu 31.71%
iter 3300: loss 0.4578, time 115.61ms, mfu 31.74%
iter 3310: loss 0.4366, time 118.01ms, mfu 31.71%
iter 3320: loss 0.4397, time 117.78ms, mfu 31.69%
iter 3330: loss 0.4108, time 118.00ms, mfu 31.66%
iter 3340: loss 0.4166, time 118.97ms, mfu 31.61%
iter 3350: loss 0.3422, time 117.66ms, mfu 31.60%
iter 3360: loss 0.4430, time 116.19ms, mfu 31.63%
iter 3370: loss 0.3980, time 114.69ms, mfu 31.70%
iter 3380: loss 0.4083, time 117.81ms, mfu 31.68%
iter 3390: loss 0.4335, time 118.38ms, mfu 31.64%
iter 3400: loss 0.4073, time 113.07ms, mfu 31.76%
iter 3410: loss 0.4514, time 117.43ms, mfu 31.74%
iter 3420: loss 0.4123, time 116.76ms, mfu 31.74%
iter 3430: loss 0.3677, time 117.82ms, mfu 31.71%
iter 3440: loss 0.3863, time 117.71ms, mfu 31.69%
iter 3450: loss 0.3763, time 115.55ms, mfu 31.73%
iter 3460: loss 0.4687, time 118.07ms, mfu 31.70%
iter 3470: loss 0.3556, time 117.72ms, mfu 31.68%
iter 3480: loss 0.4727, time 117.81ms, mfu 31.66%
iter 3490: loss 0.3801, time 117.66ms, mfu 31.64%
step 3500: train loss 0.3855, val loss 0.3809
saving checkpoint to out-abc-char-large
iter 3500: loss 0.4538, time 4769.99ms, mfu 28.56%
iter 3510: loss 0.4193, time 118.77ms, mfu 28.82%
iter 3520: loss 0.3590, time 115.99ms, mfu 29.14%
iter 3530: loss 0.4165, time 116.25ms, mfu 29.41%
iter 3540: loss 0.5110, time 119.17ms, mfu 29.58%
iter 3550: loss 0.4085, time 113.34ms, mfu 29.90%
iter 3560: loss 0.4095, time 119.51ms, mfu 30.01%
iter 3570: loss 0.4820, time 118.83ms, mfu 30.13%
iter 3580: loss 0.4556, time 120.75ms, mfu 30.19%
iter 3590: loss 0.4364, time 117.64ms, mfu 30.32%
iter 3600: loss 0.4308, time 116.86ms, mfu 30.46%
iter 3610: loss 0.3997, time 117.28ms, mfu 30.58%
iter 3620: loss 0.4833, time 116.31ms, mfu 30.71%
iter 3630: loss 0.3270, time 113.75ms, mfu 30.89%
iter 3640: loss 0.3504, time 113.01ms, mfu 31.09%
iter 3650: loss 0.3493, time 113.85ms, mfu 31.23%
iter 3660: loss 0.3511, time 117.84ms, mfu 31.26%
iter 3670: loss 0.3380, time 115.48ms, mfu 31.34%
iter 3680: loss 0.3856, time 121.01ms, mfu 31.27%
iter 3690: loss 0.4495, time 115.27ms, mfu 31.36%
iter 3700: loss 0.3688, time 117.73ms, mfu 31.37%
iter 3710: loss 0.3471, time 113.78ms, mfu 31.50%
iter 3720: loss 0.3615, time 115.97ms, mfu 31.54%
iter 3730: loss 0.3909, time 113.24ms, mfu 31.66%
iter 3740: loss 0.3428, time 116.83ms, mfu 31.67%
iter 3750: loss 0.4067, time 118.17ms, mfu 31.64%
iter 3760: loss 0.3556, time 114.82ms, mfu 31.71%
iter 3770: loss 0.4068, time 118.55ms, mfu 31.66%
iter 3780: loss 0.3972, time 124.73ms, mfu 31.47%
iter 3790: loss 0.4278, time 117.73ms, mfu 31.47%
iter 3800: loss 0.3772, time 112.89ms, mfu 31.61%
iter 3810: loss 0.4864, time 102.34ms, mfu 32.07%
iter 3820: loss 0.3759, time 118.82ms, mfu 31.98%
iter 3830: loss 0.4136, time 107.57ms, mfu 32.23%
iter 3840: loss 0.4285, time 124.92ms, mfu 31.98%
iter 3850: loss 0.4107, time 118.35ms, mfu 31.91%
iter 3860: loss 0.4226, time 123.59ms, mfu 31.72%
iter 3870: loss 0.3820, time 118.64ms, mfu 31.67%
iter 3880: loss 0.3794, time 115.28ms, mfu 31.72%
iter 3890: loss 0.3623, time 118.09ms, mfu 31.69%
iter 3900: loss 0.3741, time 121.16ms, mfu 31.58%
iter 3910: loss 0.3354, time 121.87ms, mfu 31.47%
iter 3920: loss 0.3851, time 116.48ms, mfu 31.50%
iter 3930: loss 0.3379, time 120.25ms, mfu 31.44%
iter 3940: loss 0.4305, time 115.69ms, mfu 31.50%
iter 3950: loss 0.3944, time 119.68ms, mfu 31.45%
iter 3960: loss 0.4008, time 115.89ms, mfu 31.50%
iter 3970: loss 0.3875, time 117.60ms, mfu 31.50%
iter 3980: loss 0.4079, time 117.80ms, mfu 31.50%
iter 3990: loss 0.3503, time 114.30ms, mfu 31.59%
step 4000: train loss 0.3746, val loss 0.3746
saving checkpoint to out-abc-char-large
iter 4000: loss 0.3359, time 4775.59ms, mfu 28.51%
iter 4010: loss 0.4450, time 112.06ms, mfu 28.97%
iter 4020: loss 0.3833, time 113.40ms, mfu 29.34%
iter 4030: loss 0.4099, time 113.38ms, mfu 29.68%
iter 4040: loss 0.3567, time 117.62ms, mfu 29.86%
iter 4050: loss 0.3633, time 117.74ms, mfu 30.03%
iter 4060: loss 0.3314, time 117.53ms, mfu 30.18%
iter 4070: loss 0.3936, time 112.89ms, mfu 30.44%
iter 4080: loss 0.3796, time 117.58ms, mfu 30.55%
iter 4090: loss 0.3749, time 117.82ms, mfu 30.64%
iter 4100: loss 0.4217, time 111.51ms, mfu 30.91%
iter 4110: loss 0.3476, time 117.84ms, mfu 30.96%
