Overriding config with config/train_abc_char_tiny.py:
# config/train_abc_char_tiny.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-tiny'

n_layer = 2
n_head = 2
n_embd = 128
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.41M
num decayed parameter tensors: 10, with 471,424 parameters
num non-decayed parameter tensors: 5, with 640 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 2180: loss 1.0886, time 44.45ms, mfu 2.41%
iter 2190: loss 1.1092, time 43.97ms, mfu 2.36%
iter 2200: loss 1.1011, time 46.94ms, mfu 2.30%
iter 2210: loss 1.0743, time 50.40ms, mfu 2.24%
iter 2220: loss 1.1868, time 49.25ms, mfu 2.19%
iter 2230: loss 1.0317, time 44.32ms, mfu 2.16%
iter 2240: loss 1.1478, time 50.56ms, mfu 2.11%
iter 2250: loss 1.0721, time 52.68ms, mfu 2.06%
iter 2260: loss 0.9734, time 48.07ms, mfu 2.03%
iter 2270: loss 1.1660, time 50.66ms, mfu 1.99%
iter 2280: loss 1.0930, time 48.37ms, mfu 1.97%
iter 2290: loss 1.1162, time 51.09ms, mfu 1.93%
iter 2300: loss 1.1594, time 48.23ms, mfu 1.92%
iter 2310: loss 1.1143, time 50.76ms, mfu 1.89%
iter 2320: loss 1.0373, time 49.72ms, mfu 1.87%
iter 2330: loss 1.0849, time 45.02ms, mfu 1.87%
iter 2340: loss 1.0344, time 51.17ms, mfu 1.85%
iter 2350: loss 1.1346, time 32.24ms, mfu 1.92%
iter 2360: loss 1.0535, time 46.96ms, mfu 1.91%
iter 2370: loss 1.0602, time 53.51ms, mfu 1.88%
iter 2380: loss 1.1195, time 46.52ms, mfu 1.87%
iter 2390: loss 1.0421, time 49.11ms, mfu 1.86%
iter 2400: loss 1.0787, time 47.26ms, mfu 1.85%
iter 2410: loss 1.0591, time 46.49ms, mfu 1.85%
iter 2420: loss 1.1226, time 45.06ms, mfu 1.85%
iter 2430: loss 1.2220, time 49.15ms, mfu 1.83%
iter 2440: loss 1.0565, time 46.15ms, mfu 1.83%
iter 2450: loss 0.9672, time 48.86ms, mfu 1.82%
iter 2460: loss 1.1290, time 44.68ms, mfu 1.83%
iter 2470: loss 1.2188, time 48.27ms, mfu 1.82%
iter 2480: loss 1.0248, time 47.74ms, mfu 1.82%
iter 2490: loss 1.0230, time 53.49ms, mfu 1.79%
step 2500: train loss 0.9637, val loss 0.9577
saving checkpoint to out-abc-char-tiny
iter 2500: loss 1.0126, time 830.01ms, mfu 1.62%
iter 2510: loss 1.0577, time 52.40ms, mfu 1.62%
iter 2520: loss 0.9935, time 45.06ms, mfu 1.65%
iter 2530: loss 1.2267, time 47.76ms, mfu 1.66%
iter 2540: loss 0.9886, time 31.13ms, mfu 1.76%
iter 2550: loss 1.0127, time 29.80ms, mfu 1.87%
iter 2560: loss 1.1046, time 50.26ms, mfu 1.85%
iter 2570: loss 1.0173, time 54.24ms, mfu 1.82%
iter 2580: loss 1.0506, time 52.02ms, mfu 1.80%
iter 2590: loss 0.9511, time 49.13ms, mfu 1.79%
iter 2600: loss 1.0158, time 30.93ms, mfu 1.89%
iter 2610: loss 1.0599, time 37.18ms, mfu 1.92%
iter 2620: loss 1.0657, time 29.88ms, mfu 2.01%
iter 2630: loss 1.1992, time 51.47ms, mfu 1.98%
iter 2640: loss 1.0552, time 50.71ms, mfu 1.94%
iter 2650: loss 1.0549, time 42.00ms, mfu 1.95%
iter 2660: loss 1.0918, time 49.68ms, mfu 1.92%
iter 2670: loss 1.1280, time 49.50ms, mfu 1.90%
iter 2680: loss 1.0612, time 53.47ms, mfu 1.87%
iter 2690: loss 1.0322, time 53.42ms, mfu 1.84%
iter 2700: loss 1.0383, time 40.99ms, mfu 1.86%
iter 2710: loss 1.0996, time 49.35ms, mfu 1.85%
iter 2720: loss 0.9154, time 50.02ms, mfu 1.83%
iter 2730: loss 1.0230, time 50.03ms, mfu 1.82%
iter 2740: loss 0.9858, time 48.01ms, mfu 1.81%
iter 2750: loss 1.1822, time 47.88ms, mfu 1.80%
iter 2760: loss 1.0017, time 46.00ms, mfu 1.81%
iter 2770: loss 1.0523, time 48.99ms, mfu 1.80%
iter 2780: loss 1.1115, time 47.67ms, mfu 1.80%
iter 2790: loss 1.0672, time 48.03ms, mfu 1.79%
iter 2800: loss 1.0849, time 52.91ms, mfu 1.77%
iter 2810: loss 1.0528, time 43.39ms, mfu 1.79%
iter 2820: loss 1.1148, time 49.67ms, mfu 1.78%
iter 2830: loss 1.0340, time 25.06ms, mfu 1.94%
iter 2840: loss 1.0510, time 14.97ms, mfu 2.31%
iter 2850: loss 1.0386, time 34.52ms, mfu 2.32%
iter 2860: loss 1.0251, time 48.49ms, mfu 2.26%
iter 2870: loss 1.1402, time 54.66ms, mfu 2.19%
iter 2880: loss 1.1140, time 49.73ms, mfu 2.14%
iter 2890: loss 1.0250, time 21.18ms, mfu 2.32%
iter 2900: loss 1.0533, time 50.35ms, mfu 2.26%
iter 2910: loss 1.0502, time 46.95ms, mfu 2.21%
iter 2920: loss 0.9847, time 31.76ms, mfu 2.26%
iter 2930: loss 1.1240, time 58.45ms, mfu 2.18%
iter 2940: loss 0.9716, time 33.40ms, mfu 2.21%
iter 2950: loss 1.1189, time 32.16ms, mfu 2.25%
iter 2960: loss 1.0176, time 50.59ms, mfu 2.19%
iter 2970: loss 0.9657, time 48.43ms, mfu 2.15%
iter 2980: loss 1.0421, time 33.14ms, mfu 2.19%
iter 2990: loss 1.0556, time 42.69ms, mfu 2.17%
step 3000: train loss 0.9217, val loss 0.9301
saving checkpoint to out-abc-char-tiny
iter 3000: loss 0.9569, time 983.92ms, mfu 1.96%
iter 3010: loss 1.0377, time 53.04ms, mfu 1.92%
iter 3020: loss 1.0384, time 48.43ms, mfu 1.90%
iter 3030: loss 1.0880, time 56.05ms, mfu 1.86%
iter 3040: loss 1.0293, time 28.00ms, mfu 1.98%
iter 3050: loss 1.1207, time 55.14ms, mfu 1.93%
iter 3060: loss 1.0768, time 56.84ms, mfu 1.89%
iter 3070: loss 1.0877, time 53.87ms, mfu 1.86%
iter 3080: loss 0.9948, time 45.02ms, mfu 1.86%
iter 3090: loss 0.9440, time 20.79ms, mfu 2.08%
iter 3100: loss 1.0641, time 20.96ms, mfu 2.27%
iter 3110: loss 1.0621, time 27.11ms, mfu 2.35%
iter 3120: loss 1.0194, time 51.99ms, mfu 2.28%
iter 3130: loss 1.0231, time 47.82ms, mfu 2.23%
iter 3140: loss 0.9967, time 56.93ms, mfu 2.15%
iter 3150: loss 0.9499, time 54.10ms, mfu 2.09%
iter 3160: loss 0.9797, time 41.36ms, mfu 2.09%
iter 3170: loss 1.0193, time 53.25ms, mfu 2.04%
iter 3180: loss 0.9257, time 44.36ms, mfu 2.02%
iter 3190: loss 1.0206, time 57.14ms, mfu 1.97%
iter 3200: loss 1.0274, time 30.64ms, mfu 2.05%
iter 3210: loss 1.0630, time 46.70ms, mfu 2.02%
iter 3220: loss 1.0756, time 54.35ms, mfu 1.98%
iter 3230: loss 1.0576, time 45.87ms, mfu 1.96%
iter 3240: loss 0.9955, time 51.74ms, mfu 1.93%
iter 3250: loss 1.0779, time 45.99ms, mfu 1.92%
iter 3260: loss 1.0471, time 53.15ms, mfu 1.89%
iter 3270: loss 1.1494, time 14.53ms, mfu 2.28%
iter 3280: loss 1.0321, time 48.12ms, mfu 2.22%
iter 3290: loss 1.0069, time 45.00ms, mfu 2.19%
iter 3300: loss 1.0282, time 52.20ms, mfu 2.13%
iter 3310: loss 1.0044, time 47.89ms, mfu 2.09%
iter 3320: loss 0.9804, time 46.13ms, mfu 2.07%
iter 3330: loss 0.9745, time 44.70ms, mfu 2.05%
iter 3340: loss 1.0993, time 59.13ms, mfu 1.99%
iter 3350: loss 0.9168, time 43.63ms, mfu 1.98%
iter 3360: loss 1.0422, time 49.61ms, mfu 1.95%
iter 3370: loss 1.0074, time 48.74ms, mfu 1.93%
iter 3380: loss 0.8115, time 47.96ms, mfu 1.91%
iter 3390: loss 0.9963, time 44.80ms, mfu 1.91%
iter 3400: loss 1.0887, time 49.19ms, mfu 1.89%
iter 3410: loss 1.0272, time 39.06ms, mfu 1.92%
iter 3420: loss 1.0893, time 18.17ms, mfu 2.19%
iter 3430: loss 1.0614, time 51.18ms, mfu 2.14%
iter 3440: loss 0.9524, time 38.56ms, mfu 2.14%
iter 3450: loss 0.9875, time 51.09ms, mfu 2.09%
iter 3460: loss 0.8881, time 50.34ms, mfu 2.05%
iter 3470: loss 0.9806, time 48.76ms, mfu 2.02%
iter 3480: loss 1.0472, time 51.89ms, mfu 1.98%
iter 3490: loss 1.0630, time 50.62ms, mfu 1.95%
step 3500: train loss 0.9026, val loss 0.9020
saving checkpoint to out-abc-char-tiny
iter 3500: loss 0.9807, time 854.95ms, mfu 1.76%
iter 3510: loss 1.0579, time 51.71ms, mfu 1.75%
iter 3520: loss 0.9915, time 47.84ms, mfu 1.75%
iter 3530: loss 0.9888, time 51.24ms, mfu 1.74%
iter 3540: loss 1.0836, time 51.78ms, mfu 1.73%
iter 3550: loss 1.0531, time 45.43ms, mfu 1.74%
iter 3560: loss 1.0019, time 49.56ms, mfu 1.74%
iter 3570: loss 1.0032, time 50.80ms, mfu 1.73%
iter 3580: loss 1.0506, time 61.70ms, mfu 1.69%
iter 3590: loss 1.0054, time 51.46ms, mfu 1.69%
iter 3600: loss 1.0431, time 49.95ms, mfu 1.69%
iter 3610: loss 0.9771, time 43.47ms, mfu 1.71%
iter 3620: loss 0.9744, time 49.24ms, mfu 1.71%
iter 3630: loss 1.0286, time 49.67ms, mfu 1.71%
iter 3640: loss 1.0022, time 50.38ms, mfu 1.71%
iter 3650: loss 1.0486, time 25.06ms, mfu 1.87%
iter 3660: loss 1.0236, time 36.62ms, mfu 1.92%
iter 3670: loss 1.0221, time 22.53ms, mfu 2.10%
iter 3680: loss 1.0618, time 19.70ms, mfu 2.32%
iter 3690: loss 0.9835, time 20.29ms, mfu 2.50%
iter 3700: loss 1.0098, time 49.52ms, mfu 2.42%
iter 3710: loss 1.0471, time 51.69ms, mfu 2.34%
iter 3720: loss 1.0528, time 32.53ms, mfu 2.37%
iter 3730: loss 1.0356, time 46.40ms, mfu 2.31%
iter 3740: loss 1.0501, time 50.45ms, mfu 2.25%
iter 3750: loss 1.0036, time 54.47ms, mfu 2.18%
iter 3760: loss 0.9733, time 42.64ms, mfu 2.16%
iter 3770: loss 1.0158, time 17.70ms, mfu 2.42%
iter 3780: loss 1.0053, time 48.25ms, mfu 2.35%
iter 3790: loss 1.0413, time 30.31ms, mfu 2.39%
iter 3800: loss 0.9674, time 48.45ms, mfu 2.33%
iter 3810: loss 1.0407, time 34.83ms, mfu 2.34%
iter 3820: loss 0.9833, time 45.85ms, mfu 2.29%
iter 3830: loss 0.8839, time 43.56ms, mfu 2.25%
iter 3840: loss 0.9863, time 46.87ms, mfu 2.21%
iter 3850: loss 1.0866, time 47.38ms, mfu 2.16%
iter 3860: loss 0.9635, time 44.92ms, mfu 2.13%
iter 3870: loss 0.8874, time 44.85ms, mfu 2.11%
iter 3880: loss 0.9302, time 47.71ms, mfu 2.07%
iter 3890: loss 1.0226, time 46.04ms, mfu 2.05%
iter 3900: loss 0.9687, time 49.50ms, mfu 2.02%
iter 3910: loss 1.0171, time 48.04ms, mfu 1.99%
iter 3920: loss 0.9114, time 31.72ms, mfu 2.06%
iter 3930: loss 0.9508, time 46.17ms, mfu 2.03%
iter 3940: loss 0.9525, time 50.04ms, mfu 2.00%
iter 3950: loss 1.0505, time 50.22ms, mfu 1.97%
iter 3960: loss 1.0071, time 49.66ms, mfu 1.94%
iter 3970: loss 0.9641, time 45.82ms, mfu 1.93%
iter 3980: loss 0.8479, time 44.62ms, mfu 1.93%
iter 3990: loss 1.0556, time 46.23ms, mfu 1.92%
step 4000: train loss 0.8765, val loss 0.8810
saving checkpoint to out-abc-char-tiny
iter 4000: loss 0.9805, time 820.53ms, mfu 1.73%
iter 4010: loss 1.0017, time 44.84ms, mfu 1.75%
iter 4020: loss 0.9413, time 49.78ms, mfu 1.74%
iter 4030: loss 1.0394, time 51.03ms, mfu 1.73%
iter 4040: loss 0.9412, time 46.53ms, mfu 1.74%
iter 4050: loss 0.9404, time 48.16ms, mfu 1.74%
iter 4060: loss 1.0327, time 49.75ms, mfu 1.74%
iter 4070: loss 0.9998, time 50.16ms, mfu 1.73%
iter 4080: loss 0.9768, time 47.00ms, mfu 1.74%
iter 4090: loss 1.0261, time 47.92ms, mfu 1.74%
iter 4100: loss 1.0545, time 47.48ms, mfu 1.74%
